id,title,genre,description
1,Inception,Sci-Fi,A mind bending thriller about dreams and subconscious
2,Titanic,Romance,A tragic love story on a ship
3,Avengers,Action,Superheroes save the world from destruction
4,Interstellar,Sci-Fi,Space exploration and survival beyond earth
5,Notebook,Romance,A beautiful emotional love story between two people
6,Matrix,Sci-Fi,A hacker discovers reality is a simulation
7,Iron Man,Action,A billionaire builds a powerful suit to fight enemies
8,Avatar,Sci-Fi,A marine explores alien planet and joins native tribe
9,Gladiator,Action,A warrior fights for justice and revenge in Rome
10,Spider Man,Action,A young hero gains powers and protects the city
11,Doctor Strange,Sci-Fi,A surgeon learns mystical arts and time control
12,John Wick,Action,A retired assassin seeks revenge
13,Frozen,Animation,A princess with magical powers saves her kingdom
14,Moana,Animation,A young girl sails across ocean to save her people
15,Harry Potter,Fantasy,A young wizard discovers magic and fights evil
16,Lord of the Rings,Fantasy,A group journeys to destroy a powerful ring
17,Joker,Drama,A man struggles mentally and becomes a criminal mastermind
18,Black Panther,Action,A king protects his nation with advanced technology
19,Deadpool,Action,A humorous anti-hero seeks revenge
20,Shutter Island,Thriller,A detective investigates a mysterious asylum case
